No.,No1,No2,No3,No4,No5,No6,No8,No9,No10,No11,No12,No13,No14,No15,No16,No17,No19,No20,No21,No22,No23,No24
order,12,11,10,9,1,14,3,5,15,6,21,2,22,17,16,19,8,4,7,13,18,20
sa,Changzhou_0728,Changzhou_0712,Changzhou_0220,Nanjing_0219,Beijing_0620,Shanghai_0411,Zibo_0502,Lanzhou_0822,Ningguo_0217,Zhengzhou_0219,Guangzhou_0220,Tianjin_0715,Macau_0524,Nanchang_0210,Chongqing_0715,Lijiang_0722,Xi'an_0217,Jinan_0219,Zhengzhou_0802,Kunshan_0524,Changsha_0801,Huizhou_0219
N.A.,0.001061566,0.00643333,0.010082587,0.000229271,0.004442764,0.002940797,0.006299769,0.003186434,0.005535017,0.001327871,0.003101543,0.003267307,0.0058677,0.005282333,0.00671069,0.004741173,0.005774979,0.002083332,0.001142362,0.012906362,0.004529744,0.000811572
Others,0.010258891,0.041513154,0.120392591,0.013836796,0.002457937,0.068583952,0.053057356,0.048846872,0.057753845,0.027116241,0.033847257,0.036144555,0.048194012,0.148391221,0.044698875,0.094316889,0.068421064,0.043892,0.025013585,0.054212812,0.063583334,0.00414398
Desulfobacterota,0.000948039,0.00348155,0.000149371,0.000355366,0.000519898,0.001355098,0.003615099,0.002048422,0.012854234,0.000177077,0.000359599,0.003879926,0.001604815,0.024639357,0.003528491,0.003280789,0.0200191,0.008143939,0.000512093,0.102741833,0.008128017,0.000371269
Bdellovibrionota,0.00572595,0.004730428,0.018634004,0.001455816,0.001890538,0.040597863,0.004651837,0.010925016,0.037053111,0.000139077,0.005798535,0.003267306,0.015195689,0.002212021,0.005119568,0.004449246,0.05355282,0.00648675,0.036949517,0.087529716,0.007958684,0.0000173
Verrucomicrobiota,0.012921457,0.02365192,0.078457002,0.005811994,0.000708898,0.05045231,0.026129719,0.07055692,0.043365809,0.000556498,0.007956128,0.032673065,0.022141519,0.014751762,0.028250958,0.03078542,0.045395296,0.061647729,0.015205232,0.018070113,0.024426483,0.0001469
Bacteroidota,0.023159862,0.032658475,0.012285757,0.046724906,0.010823303,0.042045052,0.015124841,0.059802798,0.040461033,0.016378055,0.019508248,0.026138454,0.036459219,0.012449516,0.022485225,0.02906662,0.038930438,0.035179919,0.024501758,0.041823466,0.030522563,0.000569702
Crenarchaeota,0.003659317,0.000605487,0.332798088,0,0.000614425,0.000654504,0.000372142,0.000227602,0.009354772,0.0000759,0,0.000204207,0.000200602,0.349782114,0.000299809,0.000595492,0.009790528,0.011647727,0.000157567,0.006907058,0.000508001,0.000233102
Cyanobacteria,0.148782158,0.052223318,0.03693194,0.045314888,0.047452472,0.113127925,0.012493391,0.071950984,0.08025887,0.052270781,0.048815569,0.031243619,0.014844655,0.039537891,0.026336866,0.022123044,0.088320664,0.02746212,0.035373845,0.018120504,0.015536399,0.0001812
Actinobacteriota,0.221590116,0.071106911,0.01456368,0.261354449,0.024246149,0.020879601,0.022541201,0.084895729,0.032958984,0.012318321,0.048366074,0.100061264,0.039042174,0.030090901,0.0956388,0.081998088,0.019037221,0.013589015,0.042149217,0.011227957,0.04847183,0.001225943
Acidobacteriota,0.004218737,0.130747417,0.024795567,0.00099734,0.001795984,0.052719749,0.164619911,0.111240767,0.081059444,0.027924881,0.002067695,0.141311008,0.124122367,0.02799134,0.158829256,0.1573447,0.055643406,0.086742425,0.001693848,0.056106178,0.135424705,0.001329608
Planctomycetota,0.02835515,0.101494899,0.05220516,0.276772774,0.030154052,0.249440242,0.110871675,0.135310656,0.188581915,0.016605659,0.030476018,0.09403717,0.095235968,0.0295038,0.097921058,0.136692713,0.233068426,0.132859851,0.014771954,0.1584802,0.095716096,0.000932303
Proteobacteria,0.539318757,0.531353111,0.298704253,0.3471464,0.87489358,0.357202907,0.580223059,0.4010078,0.410762966,0.845109639,0.799703334,0.527772119,0.59709128,0.315367744,0.510180404,0.434605826,0.362046058,0.570265193,0.802529022,0.431873801,0.565194144,0.990037121